,Date,Team,Win,Loss,Tie,Diff,Division,Cum_Win,Cum_Loss,Cum_Tie,Cum_Diff,Season,Standing
0,08-22-2025,A-08,4,0,0,40.0,A,4,0,0,40.0,Fall,1
1,08-22-2025,A-02,4,0,0,39.0,A,4,0,0,39.0,Fall,2
2,08-22-2025,A-01,4,0,0,26.0,A,4,0,0,26.0,Fall,3
3,08-22-2025,A-07,4,0,0,25.0,A,4,0,0,25.0,Fall,4
4,08-22-2025,A-18,4,0,0,24.0,A,4,0,0,24.0,Fall,5
5,08-22-2025,A-11,2,1,1,18.0,A,2,1,1,18.0,Fall,6
6,08-22-2025,A-15,2,1,1,1.0,A,2,1,1,1.0,Fall,7
7,08-22-2025,A-06,2,2,0,3.0,A,2,2,0,3.0,Fall,8
8,08-22-2025,A-10,2,2,0,-10.0,A,2,2,0,-10.0,Fall,9
9,08-22-2025,A-16,2,2,0,-20.0,A,2,2,0,-20.0,Fall,10
10,08-22-2025,A-09,1,3,0,-6.0,A,1,3,0,-6.0,Fall,11
11,08-22-2025,A-05,1,3,0,-11.0,A,1,3,0,-11.0,Fall,12
12,08-22-2025,A-17,1,3,0,-19.0,A,1,3,0,-19.0,Fall,13
13,08-22-2025,A-03,1,3,0,-19.0,A,1,3,0,-19.0,Fall,14
14,08-22-2025,A-14,1,3,0,-28.0,A,1,3,0,-28.0,Fall,15
15,08-22-2025,A-13,0,4,0,-16.0,A,0,4,0,-16.0,Fall,16
16,08-22-2025,A-04,0,4,0,-20.0,A,0,4,0,-20.0,Fall,17
17,08-22-2025,A-12,0,4,0,-27.0,A,0,4,0,-27.0,Fall,18
18,09-05-2025,A-08,3,1,0,7.0,A,7,1,0,47.0,Fall,1
19,09-05-2025,A-02,3,1,0,5.0,A,7,1,0,44.0,Fall,2
20,09-05-2025,A-18,3,1,0,14.0,A,7,1,0,38.0,Fall,3
21,09-05-2025,A-07,3,1,0,13.0,A,7,1,0,38.0,Fall,4
22,09-05-2025,A-01,2,2,0,-2.0,A,6,2,0,24.0,Fall,5
23,09-05-2025,A-11,2,2,0,-2.0,A,4,3,1,16.0,Fall,6
24,09-05-2025,A-15,2,2,0,0.0,A,4,3,1,1.0,Fall,7
25,09-05-2025,A-09,3,1,0,14.0,A,4,4,0,8.0,Fall,8
26,09-05-2025,A-12,4,0,0,19.0,A,4,4,0,-8.0,Fall,9
27,09-05-2025,A-10,2,2,0,-8.0,A,4,4,0,-18.0,Fall,10
28,09-05-2025,A-06,1,3,0,-11.0,A,3,5,0,-8.0,Fall,11
29,09-05-2025,A-17,2,2,0,-4.0,A,3,5,0,-23.0,Fall,12
30,09-05-2025,A-16,1,3,0,-3.0,A,3,5,0,-23.0,Fall,13
31,09-05-2025,A-05,1,3,0,-6.0,A,2,6,0,-17.0,Fall,14
32,09-05-2025,A-13,2,2,0,-2.0,A,2,6,0,-18.0,Fall,15
33,09-05-2025,A-14,1,3,0,-7.0,A,2,6,0,-35.0,Fall,16
34,09-05-2025,A-04,1,3,0,-10.0,A,1,7,0,-30.0,Fall,17
